F5 Sample ID	FFID	F5 CAGE Lib ID	F5 RNASEQ Lib ID	ROADMAP Matching Sample	Facet ontology ID	Facet ontology term	F5 Sample Type	F5 Sample Description	ROADMAP_Description	Note
10729	FF:10729-110A9	CNhs11854	__na	__na	__na	__na	cell_line	neurofibroma cell line:Hs 53.T	__na	__na
10728	FF:10728-110A8	CNhs11853	__na	__na	__na	__na	cell_line	neuroepithelioma cell line:SK-N-MC	__na	__na
10727	FF:10727-110A7	CNhs11852	__na	__na	__na	__na	cell_line	lymphangiectasia cell line:DS-1	__na	__na
10726	FF:10726-110A6	CNhs11851	__na	__na	__na	__na	cell_line	liposarcoma cell line:SW 872	__na	__na
10723	FF:10723-110A3	CNhs11849	__na	__na	__na	__na	cell_line	pharyngeal carcinoma cell line:Detroit 562	__na	__na
10722	FF:10722-110A2	CNhs12192	__na	__na	__na	__na	cell_line	leiomyosarcoma cell line:Hs 5.T	__na	low_quantity
10721	FF:10721-110A1	CNhs11848	RDhi10080	__na	__na	__na	cell_line	leiomyoblastoma cell line:G-402	__na	__na
10719	FF:10719-109I8	CNhs11846	__na	__na	__na	__na	cell_line	carcinoid cell line:SK-PN-DW	__na	__na
10718	FF:10718-109I7	CNhs11845	__na	__na	__na	__na	cell_line	biphenotypic B myelomonocytic leukemia cell line:MV-4-11	__na	__na
10717	FF:10717-109I6	CNhs11844	__na	__na	__na	__na	cell_line	acantholytic squamous carcinoma cell line:HCC1806	__na	__na
10715	FF:10715-109I4	CNhs14138	__na	__na	__na	__na	cell_line	bronchioalveolar carcinoma cell line:NCI-H650	__na	__na
10712	FF:10712-109I1	CNhs11843	RDhi10079	__na	__na	__na	cell_line	hairy cell leukemia cell line:Mo	__na	__na
10711	FF:10711-109H9	CNhs11842	__na	__na	__na	__na	cell_line	fibrous histiocytoma cell line:GCT TIB-223	__na	__na
10710	FF:10710-109H8	CNhs11841	__na	__na	__na	__na	cell_line	bronchogenic carcinoma cell line:ChaGo-K-1	__na	__na
10709	FF:10709-109H7	CNhs11840	__na	__na	__na	__na	cell_line	bronchioalveolar carcinoma cell line:NCI-H358	__na	__na
10708	FF:10708-109H6	CNhs11838	__na	__na	__na	__na	cell_line	alveolar cell carcinoma cell line:SW 1573	__na	__na
10707	FF:10707-109H5	CNhs11837	__na	__na	__na	__na	cell_line	transitional cell carcinoma cell line:Hs 769.T	__na	__na
10706	FF:10706-109H4	CNhs11933	__na	__na	__na	__na	cell_line	pleomorphic hepatocellular carcinoma cell line:SNU-387	__na	__na
10705	FF:10705-109H3	CNhs11836	__na	__na	__na	__na	cell_line	Ewing's sarcoma cell line:Hs 863.T	__na	__na
10704	FF:10704-109H2	CNhs11835	__na	__na	__na	__na	cell_line	osteoclastoma cell line:Hs 706.T	__na	__na
10703	FF:10703-109H1	CNhs11834	__na	__na	__na	__na	cell_line	carcinoid cell line:NCI-H1770	__na	__na
10702	FF:10702-109G9	CNhs11932	__na	__na	__na	__na	cell_line	basal cell carcinoma cell line:TE 354.T	__na	__na
10700	FF:10700-109G7	CNhs11833	__na	__na	__na	__na	cell_line	chondrosarcoma cell line:SW 1353	__na	__na
10699	FF:10699-109G6	CNhs13049	__na	__na	__na	__na	cell_line	acute myeloid leukemia (FAB M7) cell line:M-MOK	__na	__na
10698	FF:10698-109G5	CNhs11832	__na	__na	__na	__na	cell_line	pancreatic carcinoma cell line:NOR-P1	__na	__na
10697	FF:10697-109G4	CNhs11830	__na	__na	__na	__na	cell_line	peripheral neuroectodermal tumor cell line:KU-SN	__na	__na
10696	FF:10696-109G3	CNhs12191	__na	__na	__na	__na	cell_line	mesodermal tumor cell line:HIRS-BM	__na	low_quantity
10695	FF:10695-109G2	CNhs11829	__na	__na	__na	__na	cell_line	sacrococcigeal teratoma cell line:HTST	__na	__na
10694	FF:10694-109G1	CNhs11828	__na	__na	__na	__na	cell_line	tridermal teratoma cell line:HGRT	__na	__na
10693	FF:10693-109F9	CNhs11827	__na	__na	__na	__na	cell_line	serous cystadenocarcinoma cell line:HTOA	__na	__na
10692	FF:10692-109F8	CNhs11825	__na	__na	__na	__na	cell_line	large cell non-keratinizing squamous carcinoma cell line:SKG-II-SF	__na	__na
10691	FF:10691-109F7	CNhs11945	__na	__na	__na	__na	cell_line	meningioma cell line:HKBMM	__na	__na
10689	FF:10689-109F5	CNhs11944	__na	__na	__na	__na	cell_line	mixed mullerian tumor cell line:HTMMT	__na	__na
10688	FF:10688-109F4	CNhs11824	__na	__na	__na	__na	cell_line	glassy cell carcinoma cell line:HOKUG	__na	__na
10687	FF:10687-109F3	CNhs11822	__na	__na	__na	__na	cell_line	Krukenberg tumor cell line:HSKTC	__na	__na
10686	FF:10686-109F2	CNhs11931	__na	__na	__na	__na	cell_line	bone marrow stromal cell line:StromaNKtert	__na	__na
10684	FF:10684-109E9	CNhs11821	__na	__na	__na	__na	cell_line	myxofibrosarcoma cell line:NMFH-1	__na	__na
10663	FF:10663-109C6	CNhs11753	__na	__na	__na	__na	cell_line	neuroectodermal tumor cell line:FU-RPNT-2	__na	__na
10648	FF:10648-109A9	CNhs11752	RDhi10078	__na	__na	__na	cell_line	mucinous adenocarcinoma cell line:JHOM-1	__na	__na
10647	FF:10647-109A8	CNhs11750	__na	__na	__na	__na	cell_line	lens epithelial cell line:SRA 01/04	__na	__na
10646	FF:10646-109A7	CNhs11749	__na	__na	__na	__na	cell_line	squamous cell carcinoma cell line:JHUS-nk1	__na	__na
10643	FF:10643-109A4	CNhs11748	__na	__na	__na	__na	cell_line	endometrioid adenocarcinoma cell line:JHUEM-1	__na	__na
10642	FF:10642-109A3	CNhs11747	__na	__na	__na	__na	cell_line	carcinosarcoma cell line:JHUCS-1	__na	__na
10639	FF:10639-108I9	CNhs11746	__na	__na	__na	__na	cell_line	serous adenocarcinoma cell line:JHOS-2	__na	__na
10638	FF:10638-108I8	CNhs11745	__na	__na	__na	__na	cell_line	clear cell carcinoma cell line:JHOC-5	__na	__na
10637	FF:10637-108I7	CNhs11744	__na	__na	__na	__na	cell_line	neuroectodermal tumor cell line:FU-RPNT-1	__na	__na
10636	FF:10636-108I6	CNhs11930	__na	__na	__na	__na	cell_line	clear cell carcinoma cell line:TEN	__na	__na
10633	FF:10633-108I3	CNhs11742	__na	__na	__na	__na	cell_line	hepatoblastoma cell line:HuH-6	__na	__na
10631	FF:10631-108I1	CNhs11741	__na	__na	__na	__na	cell_line	diffuse large B-cell lymphoma cell line:CTB-1	__na	__na
10624	FF:10624-108H3	CNhs11740	__na	__na	__na	__na	cell_line	granulosa cell tumor cell line:KGN	__na	__na
10618	FF:10618-108G6	CNhs11820	__na	__na	__na	__na	cell_line	choriocarcinoma cell line:T3M-3	__na	__na
10616	FF:10616-108G4	CNhs11739	__na	__na	__na	__na	cell_line	squamous cell carcinoma cell line:T3M-5	__na	__na
10615	FF:10615-108G3	CNhs11738	RDhi10077	__na	__na	__na	cell_line	gastrointestinal carcinoma cell line:ECC12	__na	__na
10614	FF:10614-108G2	CNhs11737	__na	__na	__na	__na	cell_line	gastric adenocarcinoma cell line:MKN1	__na	__na
10612	FF:10612-108F9	CNhs11819	__na	__na	__na	__na	cell_line	gastric adenocarcinoma cell line:MKN45	__na	__na
10610	FF:10610-108F7	CNhs11736	__na	__na	__na	__na	cell_line	small cell gastrointestinal carcinoma cell line:ECC10	__na	__na
